Barcode,UMAP-1,UMAP-2
aajjkank-1,1.8826795051994043,-8.448773087151281
aajjlmdh-1,2.7745879604215715,-4.829242736022745
aajjmeop-1,0.5205545416068474,-8.406118903767126
aajjnbpo-1,0.4536813571965745,-8.21599866863504
aajjomma-1,-1.4617639839853513,-7.562711384224501
aajkcohd-1,6.27294895269839,-5.350891594257983
aajkgdkh-1,0.6564543121357996,-6.319678078607968
aajkhacp-1,1.1580428979089323,-6.962039581491937
aajkmkab-1,3.9654991575242584,-7.401640652838939
aajkmpdg-1,-1.4216661523024006,-7.217335211043354
aajmclan-1,-0.6699540472712671,-4.191107306585591
aajmgoea-1,6.2573769400529065,-3.8603639037731057
aajmnjji-1,-0.0653835277986646,-3.444759657841557
aajnjifn-1,6.947778660895949,-3.5705294921476822
aajnlabb-1,5.697776824871964,-2.9171797049598105
aajoacjj-1,1.5756035406759341,-5.222605564623074
aajodejj-1,-1.7397023838037928,3.328286671006401
aajoekjf-1,2.1654055968502623,-6.192126508817117
aajofjoi-1,-9.00851848407147,4.518953484361272
aajofpae-1,-1.3779734501861836,1.7718090220203324
aajomfnl-1,0.5159022957443037,2.6137555019657595
aajpdfbf-1,-1.6557122844149867,2.6824218560563517
aajpehpc-1,4.654816538915752,-3.301169012519646
aajpfheh-1,7.487890341302144,-3.4821332112503085
aajpoikh-1,7.097813847080153,-3.99583039206422
aakabjko-1,6.555968531323842,-3.8083021862418645
aakbdnkb-1,0.030227900997009838,-7.570840386086329
aakbnpec-1,1.190410678467496,-5.7884329925759035
aakcefjh-1,4.956959548833279,-4.017049740280853
aakckebb-1,-2.241263306487362,-6.48712523380594
aakcmabm-1,1.3854035809792464,-7.516585230227788
aakcoeoi-1,0.011670164357138302,-7.144966429695872
aakfdolb-1,4.967215745829667,-6.12853411729817
aakfhcnp-1,0.675929838160787,-8.816599139118832
aakfjfgn-1,-0.9738355652690669,-7.169646083561774
aakfojdm-1,2.0015435718520513,-5.796392196112471
aakgaldm-1,0.45006077740396017,-7.73310017985423
aakglhlp-1,-1.342944776112352,-7.919209806047916
aakgoknf-1,1.390960509890555,-5.204874952133726
aakhcmjl-1,1.3220252455246304,-8.285310705443683
aakhhnom-1,7.882996204303336,-3.9738970883798665
aakickia-1,0.615325029764574,-8.223431763113426
aakjgdjj-1,-0.7040239824309087,-0.24791428139541594
aakjijng-1,6.507533210183709,-3.267848031280935
aakkahcp-1,3.300419560407922,-7.709620403844381
aakkghea-1,2.341452800692622,-8.699054992756583
aakkjhlj-1,1.0126600638107208,-5.728459400083642
aakklank-1,0.4692943294862474,-6.847545621287804
aakkoiid-1,4.302647834731085,-3.0702897665667033
aakllfkg-1,2.8890000389945323,-3.7874965234189304
aakllkem-1,1.886340217655281,-5.9065849174250795
aakmdpnn-1,0.9077201130150014,-6.008926278009293
aakmegaj-1,1.4980292886209372,-6.672120417985069
aaknhbfl-1,5.7898695995633,-4.472751016634214
aakobjom-1,2.7461645631855833,-5.985885072834008
aakoegpl-1,6.179081707503763,-4.332159075786667
aakolona-1,5.214287545978578,-1.9919803427174743
aakopiff-1,1.1204167706595842,-7.395315864621149
aakppmhg-1,3.8510241231571425,-5.941537156200101
aalafmfg-1,0.5470829187579952,-9.125794255069035
aalamkgb-1,2.7493138970899453,-7.016957450351832
aalanlog-1,1.1193486806094712,-6.098671029926555
aalbahpm-1,-0.13525573298042046,-7.342905748466605
aalckdhp-1,1.028435184817794,-8.490618340259793
aaldbpll-1,-0.07831388585740273,-5.0446624431512985
aalfnhib-1,0.00311859027535219,-8.1379924906166
aalgkaco-1,0.6338400317767507,-8.499293976985102
aalhicoi-1,2.194881925079416,-4.889548863650393
aalhppcl-1,0.18604236796588994,-6.554235417699637
aalidjgf-1,3.571382958959424,-6.314677651635963
aaljcenl-1,3.651671767781897,-5.49148257311116
aaljghpf-1,1.396836569279356,-3.920193614933296
aaljpeje-1,2.4647564672388245,-4.104039622098518
aalkcdoh-1,0.07840314977428486,-5.535880013159046
aalkggad-1,4.697262309816072,-6.664462926004858
aalkigfc-1,2.379243346535884,-1.7495907932723826
aalkiglb-1,1.9668835624762795,-1.006082447944936
aalklgim-1,2.36378439989215,-8.443027673493981
aalllmdh-1,-0.4912994505054792,-7.369056159620111
aalmabaj-1,1.4942993201362367,-7.201316691306504
aalncpcg-1,2.7788292169133,-6.311859410010907
aalnkcod-1,0.2700533518592222,-9.068667552054912
aalnpldl-1,-0.5312468127308515,-6.882654692776617
aalpbmla-1,0.6854373346602042,-8.516056483110802
aalpfnnj-1,5.049936224777767,-7.217447907818607
aamacfpk-1,2.9644141472683794,-6.507726699058448
aamaeicc-1,0.9282500104207905,-8.459373047372027
aamajndk-1,1.885515838687742,-1.3703195548086566
aamamech-1,0.6175075321448603,-7.98267674650766
aamamlbl-1,1.1659750143365204,-7.344498993870122
aambcdon-1,-1.2523644465917168,-6.214439936350805
aambchld-1,0.872530659704547,-3.247650462801071
aamcagph-1,-2.3956667592061365,4.02148426036694
aamcmlbc-1,0.03346752306017302,-8.683137629499583
aamdmann-1,6.315620579437367,-3.600236226496221
aamdoiai-1,-9.839234853662289,3.278863762668593
aamdphkm-1,-0.7991250732308641,-8.41949388695228
aameajai-1,-1.0082426296991973,-7.683175781789677
aameeooj-1,0.6232195122308118,-8.368156602451176
aamehohf-1,4.873087854578767,-6.191550551943086
aamfaidh-1,2.190624103759876,-8.469114439376739
aamffigc-1,5.58175531240803,-0.7395642245276978
aamfkefj-1,-0.46924894728584887,-6.03450241550411
aamfoelh-1,-0.029235705170937543,2.905391701444616
aamfpekh-1,-0.8156838799866031,2.4199561355934156
aamfpneo-1,-0.8636994703554834,-6.659721295589598
aamgkdnb-1,-2.1610185453655637,-7.43044837118313
aamhdmpi-1,1.0709879783404268,-8.60869873952586
aamhfecn-1,-1.3994369948210676,-6.203567516503195
aamhidhf-1,-0.8169929267729612,-5.942166556242629
aamhjgoi-1,0.7795394543983215,-6.235297069766395
aamhlfdj-1,-1.2648197702314976,-5.132509920038424
aamhogpk-1,4.750185120857449,-5.7819602326020965
aamicnka-1,3.5715196792174355,-6.076223549864002
